Date,Country,Infections,Recovered,Deaths,Tests
26-Mar,South Korea,9241,4144,131,364942
27-Mar,South Korea,9332,4528,139,376961
28-Mar,South Korea,9478,4811,144,387925
29-Mar,South Korea,9583,5033,152,394141
30-Mar,South Korea,9661,5228,158,395194
31-Mar,South Korea,9786,5408,162,410564
1-Apr,South Korea,9887,5567,165,421547
2-Apr,South Korea,9976,5828,169,431743
3-Apr,South Korea,10062,6021,174,443273
4-Apr,South Korea,10156,6325,177,455032
5-Apr,South Korea,10237,6463,183,461233
6-Apr,South Korea,10284,6598,186,466804
7-Apr,South Korea,10331,6694,192,477304
8-Apr,South Korea,10384,6776,200,486003
9-Apr,South Korea,10423,6973,204,494711
10-Apr,South Korea,10450,7117,208,503051
11-Apr,South Korea,10480,7243,211,510479
12-Apr,South Korea,10512,7368,214,514621
13-Apr,South Korea,10537,7447,217,518743
22-Jan,France,0,0,0,0
23-Jan,France,0,0,0,0
24-Jan,France,2,0,0,0
25-Jan,France,3,0,0,0
26-Jan,France,3,0,0,0
27-Jan,France,3,0,0,0
28-Jan,France,4,0,0,0
29-Jan,France,5,0,0,0
30-Jan,France,5,0,0,0
31-Jan,France,5,0,0,0
1-Feb,France,6,0,0,0
2-Feb,France,6,0,0,0
3-Feb,France,6,0,0,0
4-Feb,France,6,0,0,0
5-Feb,France,6,0,0,0
6-Feb,France,6,0,0,0
7-Feb,France,6,0,0,0
8-Feb,France,11,0,0,0
9-Feb,France,11,0,0,0
10-Feb,France,11,0,0,0
11-Feb,France,11,0,0,0
12-Feb,France,11,1,0,0
13-Feb,France,11,1,0,0
14-Feb,France,11,1,0,0
15-Feb,France,12,1,1,0
16-Feb,France,12,1,1,0
17-Feb,France,12,1,1,0
18-Feb,France,12,1,1,0
19-Feb,France,12,1,1,0
20-Feb,France,12,1,1,0
21-Feb,France,12,1,1,0
22-Feb,France,12,1,1,0
23-Feb,France,12,1,1,0
24-Feb,France,12,1,1,31
25-Feb,France,14,1,1,146
26-Feb,France,18,1,2,412
27-Feb,France,38,1,2,851
28-Feb,France,57,1,2,1316
29-Feb,France,100,1,2,1902
1-Mar,France,130,1,2,2451
2-Mar,France,191,1,3,2887
3-Mar,France,204,1,4,3594
4-Mar,France,288,1,4,4803
5-Mar,France,380,1,6,6046
6-Mar,France,656,1,9,7695
7-Mar,France,959,1,11,9495
8-Mar,France,1136,1,19,11071
9-Mar,France,1219,1,19,12667
10-Mar,France,1794,1,33,15018
11-Mar,France,2293,1,48,15018
12-Mar,France,2293,1,48,15018
13-Mar,France,3681,1,79,15018
14-Mar,France,4496,1,91,15018
15-Mar,France,4532,11,91,36747
16-Mar,France,6683,11,149,36747
17-Mar,France,7715,11,149,36747
18-Mar,France,9124,11,149,36747
19-Mar,France,10970,11,244,36747
20-Mar,France,12758,11,451,36747
21-Mar,France,14463,11,563,36747
22-Mar,France,16243,22,676,36747
23-Mar,France,20123,22,862,36747
24-Mar,France,22622,23,1102,107546
25-Mar,France,25600,24,1333,107546
26-Mar,France,29551,24,1698,107546
27-Mar,France,33402,27,1997,107546
28-Mar,France,38105,54,2317,107546
29-Mar,France,40708,54,2611,107546
30-Mar,France,45170,57,3030,107546
31-Mar,France,52827,93,3532,224254
1-Apr,France,57749,111,4043,224254
2-Apr,France,59929,414,5398,224254
3-Apr,France,65202,424,6520,224254
4-Apr,France,90848,436,7574,224254
5-Apr,France,93773,469,8093,224254
6-Apr,France,98963,485,8926,224254
7-Apr,France,110065,492,10343,333807
8-Apr,France,113959,510,10887,333807
9-Apr,France,118781,530,12228,333807
10-Apr,France,125931,564,13215,333807
11-Apr,France,130727,570,13851,333807
12-Apr,France,133670,583,14412,333807
13-Apr,France,137875,591,14986,333807
22-Jan,Spain,0,0,0,0
23-Jan,Spain,0,0,0,0
24-Jan,Spain,0,0,0,0
25-Jan,Spain,0,0,0,0
26-Jan,Spain,0,0,0,0
27-Jan,Spain,0,0,0,0
28-Jan,Spain,0,0,0,0
29-Jan,Spain,0,0,0,0
30-Jan,Spain,0,0,0,0
31-Jan,Spain,0,0,0,0
1-Feb,Spain,1,0,0,0
2-Feb,Spain,1,0,0,0
3-Feb,Spain,1,0,0,0
4-Feb,Spain,1,0,0,0
5-Feb,Spain,1,0,0,0
6-Feb,Spain,1,0,0,0
7-Feb,Spain,1,0,0,0
8-Feb,Spain,1,0,0,0
9-Feb,Spain,2,0,0,0
10-Feb,Spain,2,0,0,0
11-Feb,Spain,2,0,0,0
12-Feb,Spain,2,0,0,0
13-Feb,Spain,2,0,0,0
14-Feb,Spain,2,0,0,0
15-Feb,Spain,2,2,0,0
16-Feb,Spain,2,2,0,0
17-Feb,Spain,2,2,0,0
18-Feb,Spain,2,2,0,0
19-Feb,Spain,2,2,0,0
20-Feb,Spain,2,2,0,0
21-Feb,Spain,2,2,0,0
22-Feb,Spain,2,2,0,0
23-Feb,Spain,2,2,0,0
24-Feb,Spain,2,2,0,0
25-Feb,Spain,6,2,0,0
26-Feb,Spain,13,2,0,0
27-Feb,Spain,15,2,0,0
28-Feb,Spain,32,2,0,0
29-Feb,Spain,45,2,0,0
1-Mar,Spain,84,2,0,0
2-Mar,Spain,120,2,0,0
3-Mar,Spain,165,2,1,0
4-Mar,Spain,222,2,2,0
5-Mar,Spain,259,2,3,0
6-Mar,Spain,400,2,5,0
7-Mar,Spain,500,30,10,0
8-Mar,Spain,673,30,17,0
9-Mar,Spain,1073,32,28,0
10-Mar,Spain,1695,32,35,0
11-Mar,Spain,2277,183,54,0
12-Mar,Spain,2277,183,55,0
13-Mar,Spain,5232,193,133,0
14-Mar,Spain,6391,517,195,0
15-Mar,Spain,7798,517,289,0
16-Mar,Spain,9942,530,342,0
17-Mar,Spain,11748,1028,533,0
18-Mar,Spain,13910,1081,623,0
19-Mar,Spain,17963,1107,830,0
20-Mar,Spain,20410,1588,1043,0
21-Mar,Spain,25374,2125,1375,0
22-Mar,Spain,28768,2575,1772,0
23-Mar,Spain,35136,2575,2311,0
24-Mar,Spain,39885,3794,2808,0
25-Mar,Spain,49515,5367,3647,0
26-Mar,Spain,57786,7015,4365,0
27-Mar,Spain,65719,9357,5138,0
28-Mar,Spain,73235,12285,5982,0
29-Mar,Spain,80110,14709,6803,0
30-Mar,Spain,87956,16780,7716,0
31-Mar,Spain,95923,19259,8464,0
1-Apr,Spain,104118,22647,9387,0
2-Apr,Spain,112065,26743,10348,0
3-Apr,Spain,119199,30513,11198,0
4-Apr,Spain,126168,34219,11947,0
5-Apr,Spain,131646,38080,12641,0
6-Apr,Spain,136675,40437,13341,0
7-Apr,Spain,141942,43208,14045,0
8-Apr,Spain,148220,48021,14792,0
9-Apr,Spain,153222,52165,15447,0
10-Apr,Spain,158273,55668,16081,0
11-Apr,Spain,163027,59109,16606,0
12-Apr,Spain,166831,62391,17209,0
13-Apr,Spain,170099,64727,17756,930230
22-Jan,Germany,0,0,0,0
23-Jan,Germany,0,0,0,0
24-Jan,Germany,0,0,0,0
25-Jan,Germany,0,0,0,0
26-Jan,Germany,0,0,0,0
27-Jan,Germany,1,0,0,0
28-Jan,Germany,4,0,0,0
29-Jan,Germany,4,0,0,0
30-Jan,Germany,4,0,0,0
31-Jan,Germany,5,0,0,0
1-Feb,Germany,8,0,0,0
2-Feb,Germany,10,0,0,0
3-Feb,Germany,12,0,0,0
4-Feb,Germany,12,0,0,0
5-Feb,Germany,12,0,0,0
6-Feb,Germany,12,0,0,0
7-Feb,Germany,13,0,0,0
8-Feb,Germany,13,0,0,0
9-Feb,Germany,14,0,0,0
10-Feb,Germany,14,0,0,0
11-Feb,Germany,16,0,0,0
12-Feb,Germany,16,0,0,0
13-Feb,Germany,16,1,0,0
14-Feb,Germany,16,1,0,0
15-Feb,Germany,16,1,0,0
16-Feb,Germany,16,1,0,0
17-Feb,Germany,16,1,0,0
18-Feb,Germany,16,12,0,0
19-Feb,Germany,16,12,0,0
20-Feb,Germany,16,12,0,0
21-Feb,Germany,16,14,0,0
22-Feb,Germany,16,14,0,0
23-Feb,Germany,16,14,0,0
24-Feb,Germany,16,14,0,0
25-Feb,Germany,17,14,0,0
26-Feb,Germany,27,15,0,0
27-Feb,Germany,46,16,0,0
28-Feb,Germany,48,16,0,0
29-Feb,Germany,79,16,0,0
1-Mar,Germany,130,16,0,0
2-Mar,Germany,159,16,0,0
3-Mar,Germany,196,16,0,0
4-Mar,Germany,262,16,0,0
5-Mar,Germany,482,16,0,0
6-Mar,Germany,670,17,0,0
7-Mar,Germany,799,18,0,0
8-Mar,Germany,1040,18,0,124716
9-Mar,Germany,1176,18,2,124716
10-Mar,Germany,1457,18,2,124716
11-Mar,Germany,1908,25,3,124716
12-Mar,Germany,2078,25,3,124716
13-Mar,Germany,3675,46,7,124716
14-Mar,Germany,4585,46,9,124716
15-Mar,Germany,5795,46,11,252173
16-Mar,Germany,7272,67,17,252173
17-Mar,Germany,9257,67,24,252173
18-Mar,Germany,12327,105,28,252173
19-Mar,Germany,15320,113,44,252173
20-Mar,Germany,19848,180,67,252173
21-Mar,Germany,22213,233,84,252173
22-Mar,Germany,24873,266,94,600792
23-Mar,Germany,29056,266,123,600792
24-Mar,Germany,32986,3243,157,600792
25-Mar,Germany,37323,3547,206,600792
26-Mar,Germany,43938,5673,267,600792
27-Mar,Germany,50871,6658,342,600792
28-Mar,Germany,57695,8481,433,600792
29-Mar,Germany,62095,9211,533,962166
30-Mar,Germany,66885,13500,645,962166
31-Mar,Germany,71808,16100,775,962166
1-Apr,Germany,77872,18700,920,962166
2-Apr,Germany,84794,22440,1107,962166
3-Apr,Germany,91159,24575,1275,962166
4-Apr,Germany,96092,26400,1444,962166
5-Apr,Germany,100123,28700,1584,1368218
6-Apr,Germany,103374,28700,1810,1368218
7-Apr,Germany,107663,36081,2016,1368218
8-Apr,Germany,113296,46300,2349,1368218
9-Apr,Germany,118181,52407,2607,1368218
10-Apr,Germany,122171,53913,2767,1368218
11-Apr,Germany,124908,57400,2736,1368218
12-Apr,Germany,127854,60300,3022,1728357
13-Apr,Germany,130072,64300,3194,1728357
22-Jan,United States,1,0,0,0
23-Jan,United States,1,0,0,0
24-Jan,United States,2,0,0,0
25-Jan,United States,2,0,0,0
26-Jan,United States,5,0,0,0
27-Jan,United States,5,0,0,0
28-Jan,United States,5,0,0,0
29-Jan,United States,5,0,0,0
30-Jan,United States,5,0,0,0
31-Jan,United States,7,0,0,0
1-Feb,United States,8,0,0,0
2-Feb,United States,8,0,0,0
3-Feb,United States,11,0,0,0
4-Feb,United States,11,0,0,0
5-Feb,United States,11,0,0,0
6-Feb,United States,11,0,0,0
7-Feb,United States,11,0,0,0
8-Feb,United States,11,0,0,0
9-Feb,United States,11,3,0,0
10-Feb,United States,11,3,0,0
11-Feb,United States,12,3,0,0
12-Feb,United States,12,3,0,0
13-Feb,United States,13,3,0,0
14-Feb,United States,13,3,0,0
15-Feb,United States,13,3,0,0
16-Feb,United States,13,3,0,0
17-Feb,United States,13,3,0,0
18-Feb,United States,13,3,0,0
19-Feb,United States,13,3,0,0
20-Feb,United States,13,3,0,0
21-Feb,United States,15,5,0,0
22-Feb,United States,15,5,0,0
23-Feb,United States,15,5,0,0
24-Feb,United States,51,5,0,0
25-Feb,United States,51,6,0,0
26-Feb,United States,57,6,0,0
27-Feb,United States,58,6,0,0
28-Feb,United States,60,7,0,0
29-Feb,United States,68,7,1,0
1-Mar,United States,74,7,1,0
2-Mar,United States,98,7,6,0
3-Mar,United States,118,7,7,0
4-Mar,United States,149,7,11,0
5-Mar,United States,217,7,12,0
6-Mar,United States,262,7,14,0
7-Mar,United States,402,7,17,2389
8-Mar,United States,518,7,21,3066
9-Mar,United States,583,7,22,4392
10-Mar,United States,959,8,28,5177
11-Mar,United States,1281,8,36,7863
12-Mar,United States,1663,12,40,10262
13-Mar,United States,2179,12,47,16708
14-Mar,United States,2727,12,54,20948
15-Mar,United States,3499,12,63,27526
16-Mar,United States,4632,17,85,42286
17-Mar,United States,6421,17,108,56419
18-Mar,United States,7783,105,118,78107
19-Mar,United States,13747,121,200,104073
20-Mar,United States,19273,147,244,139878
21-Mar,United States,25600,176,307,184971
22-Mar,United States,33276,178,417,231497
23-Mar,United States,43847,178,557,287226
24-Mar,United States,53740,348,706,353809
25-Mar,United States,65778,361,942,432699
26-Mar,United States,83836,681,1209,529092
27-Mar,United States,101657,869,1581,639733
28-Mar,United States,121465,1072,2026,747663
29-Mar,United States,140909,2665,2467,840749
30-Mar,United States,161831,5644,2978,959393
31-Mar,United States,188172,7024,3873,1066365
1-Apr,United States,213372,8474,4757,1169846
2-Apr,United States,243762,9001,5926,1291801
3-Apr,United States,275586,9707,7087,1423812
4-Apr,United States,308853,14652,8407,1653080
5-Apr,United States,337072,17448,9619,1775683
6-Apr,United States,366667,19581,10783,1924931
7-Apr,United States,396223,21763,12722,2073030
8-Apr,United States,429052,23559,14695,2212566
9-Apr,United States,461437,25410,16478,2375355
10-Apr,United States,496535,28790,18586,2529215
11-Apr,United States,526396,31270,20463,2665666
12-Apr,United States,555313,32988,22020,2805892
13-Apr,United States,580619,43482,23529,2935006
22-Jan,Switzerland,0,0,0,0
23-Jan,Switzerland,0,0,0,0
24-Jan,Switzerland,0,0,0,0
25-Jan,Switzerland,0,0,0,0
26-Jan,Switzerland,0,0,0,0
27-Jan,Switzerland,0,0,0,0
28-Jan,Switzerland,0,0,0,0
29-Jan,Switzerland,0,0,0,0
30-Jan,Switzerland,0,0,0,0
31-Jan,Switzerland,0,0,0,0
1-Feb,Switzerland,0,0,0,0
2-Feb,Switzerland,0,0,0,0
3-Feb,Switzerland,0,0,0,0
4-Feb,Switzerland,0,0,0,0
5-Feb,Switzerland,0,0,0,0
6-Feb,Switzerland,0,0,0,0
7-Feb,Switzerland,0,0,0,0
8-Feb,Switzerland,0,0,0,0
9-Feb,Switzerland,0,0,0,0
10-Feb,Switzerland,0,0,0,0
11-Feb,Switzerland,0,0,0,0
12-Feb,Switzerland,0,0,0,0
13-Feb,Switzerland,0,0,0,0
14-Feb,Switzerland,0,0,0,0
15-Feb,Switzerland,0,0,0,0
16-Feb,Switzerland,0,0,0,0
17-Feb,Switzerland,0,0,0,0
18-Feb,Switzerland,0,0,0,0
19-Feb,Switzerland,0,0,0,0
20-Feb,Switzerland,0,0,0,0
21-Feb,Switzerland,0,0,0,0
22-Feb,Switzerland,0,0,0,0
23-Feb,Switzerland,0,0,0,0
24-Feb,Switzerland,0,0,0,0
25-Feb,Switzerland,1,0,0,0
26-Feb,Switzerland,1,0,0,0
27-Feb,Switzerland,8,0,0,0
28-Feb,Switzerland,8,0,0,0
29-Feb,Switzerland,18,0,0,0
1-Mar,Switzerland,27,0,0,0
2-Mar,Switzerland,42,0,0,0
3-Mar,Switzerland,56,2,0,0
4-Mar,Switzerland,90,3,0,0
5-Mar,Switzerland,114,3,1,0
6-Mar,Switzerland,214,3,1,0
7-Mar,Switzerland,268,3,1,0
8-Mar,Switzerland,337,3,2,0
9-Mar,Switzerland,374,3,2,0
10-Mar,Switzerland,491,3,3,0
11-Mar,Switzerland,652,4,4,0
12-Mar,Switzerland,652,4,4,0
13-Mar,Switzerland,1139,4,11,0
14-Mar,Switzerland,1359,4,13,0
15-Mar,Switzerland,2200,4,14,0
16-Mar,Switzerland,2200,4,14,0
17-Mar,Switzerland,2700,4,27,0
18-Mar,Switzerland,3028,15,28,0
19-Mar,Switzerland,4075,15,41,0
20-Mar,Switzerland,5294,15,54,0
21-Mar,Switzerland,6575,15,75,0
