Date,Country,Infections,Recovered,Deaths
29-Jan,United Kingdom,0,0,0
30-Jan,United Kingdom,0,0,0
31-Jan,United Kingdom,2,0,0
1-Feb,United Kingdom,2,0,0
2-Feb,United Kingdom,2,0,0
3-Feb,United Kingdom,2,0,0
4-Feb,United Kingdom,2,0,0
5-Feb,United Kingdom,2,0,0
6-Feb,United Kingdom,2,0,0
7-Feb,United Kingdom,3,0,0
8-Feb,United Kingdom,3,0,0
9-Feb,United Kingdom,3,0,0
10-Feb,United Kingdom,8,0,0
11-Feb,United Kingdom,8,0,0
12-Feb,United Kingdom,9,1,0
13-Feb,United Kingdom,9,1,0
14-Feb,United Kingdom,9,1,0
15-Feb,United Kingdom,9,1,0
16-Feb,United Kingdom,9,8,0
17-Feb,United Kingdom,9,8,0
18-Feb,United Kingdom,9,8,0
19-Feb,United Kingdom,9,8,0
20-Feb,United Kingdom,9,8,0
21-Feb,United Kingdom,9,8,0
22-Feb,United Kingdom,9,8,0
23-Feb,United Kingdom,9,8,0
24-Feb,United Kingdom,13,8,0
25-Feb,United Kingdom,13,8,0
26-Feb,United Kingdom,13,8,0
27-Feb,United Kingdom,15,8,0
28-Feb,United Kingdom,20,8,0
29-Feb,United Kingdom,23,8,0
1-Mar,United Kingdom,36,8,0
2-Mar,United Kingdom,40,8,0
3-Mar,United Kingdom,51,8,0
4-Mar,United Kingdom,86,8,0
5-Mar,United Kingdom,116,8,1
6-Mar,United Kingdom,164,8,2
7-Mar,United Kingdom,207,18,2
8-Mar,United Kingdom,274,18,3
9-Mar,United Kingdom,322,18,4
10-Mar,United Kingdom,384,19,6
11-Mar,United Kingdom,459,19,8
12-Mar,United Kingdom,459,19,8
13-Mar,United Kingdom,802,19,8
14-Mar,United Kingdom,1144,19,21
15-Mar,United Kingdom,1145,19,21
16-Mar,United Kingdom,1551,21,56
17-Mar,United Kingdom,1960,53,56
18-Mar,United Kingdom,2642,67,72
19-Mar,United Kingdom,2716,67,138
20-Mar,United Kingdom,4014,67,178
21-Mar,United Kingdom,5067,67,234
22-Mar,United Kingdom,5745,67,282
23-Mar,United Kingdom,6726,67,336
24-Mar,United Kingdom,8164,140,423
25-Mar,United Kingdom,9640,140,466
22-Jan,Netherlands,0,0,0
23-Jan,Netherlands,0,0,0
24-Jan,Netherlands,0,0,0
25-Jan,Netherlands,0,0,0
